Index,Start Time,End Time,Query Granularity,NE Location,Attached (VLR),Total VLR (Attached+Detached),In-Roamers (Total) (VLR),Peak_Processor_Load_24hrs,Trunk_Route_Utilization_Rate_(MSC),Trunk_Route_Utilization_Rate_(MSC)_Nom,Trunk_Route_Utilization_Rate_(MSC)_Denom,Trunk_Route_Congestion_Rate_(MSC),Trunk_Route_Congestion_Rate_(MSC)_Nom,Trunk_Route_Congestion_Rate_(MSC)_Denom,ASR_Answer_Seizure_Ratio,ASR_Answer_Seizure_Ratio_Nom,ASR_Answer_Seizure_Ratio_Denom,SCR_Successful_Call_Rate,SCR_Successful_Call_Rate_Nom,SCR_Successful_Call_Rate_Denom,BH Traffic (Erl),No_Of_MO_SMS_Sent_CS_NEW,No_Of_MT_SMS_Delivered_CS_NEW,Overall_SMS_success_rate_New,Overall_SMS_success_rate_New_Num,Overall_SMS_success_rate_New_Denum,LUSR_2G_3G_GSMM,LUSR_2G_3G_GSM_Nomm,LUSR_2G_3G_GSM_Denomm,LUSR_3G_UMTS,LUSR_3G_UMTS_Nom,LUSR_3G_UMTS_Denom,Contractual Paging Success Rate,Contractual Paging Success RateNUM,Contractual Paging Success Rate DENUM,Times of Attempted SMS-MO,Times of Attempted SMS-MT,In-Roamers (Intnl),In-Roamers (National) (VLR),Duration(s) of CPU Keeping in Peak State
12,5/27/2024 11:00,5/27/2024 12:00,1 hour,WTCMSC03,1169323,1426517,14078,28,17.5244,90530818,516600000,0,0,1804201,41.5641,3394597,8167134,99.5586,8131084,8167134,103174.39,293435,870228,70,1163663,1669689,99.3344,4102957,4130448,97.8349,797932,815590,96.3203,1627385,1689556,545329,1124360,14078,0,0
13,5/27/2024 12:00,5/27/2024 13:00,1 hour,WTCMSC03,1176473,1429559,14017,28,17.5622,90726139,516600000,0,0,1763506,41.3081,3311200,8015868,99.5251,7977800,8015868,103794.7425,288230,884369,69,1172599,1697652,99.3342,4140232,4167981,97.8652,810427,828105,96.1947,1631551,1696093,541878,1155774,14017,0,0
14,5/27/2024 13:00,5/27/2024 14:00,1 hour,WTCMSC03,1181968,1430898,13996,30,17.5558,90693438,516600000,0,0,1768324,40.6861,3274943,8049288,99.5351,8011865,8049288,103618.6933,302074,897783,70,1199857,1723829,99.3244,4116103,4144102,97.8954,802852,820112,96.2724,1635397,1698719,556843,1166986,13996,0,0
15,5/27/2024 14:00,5/27/2024 15:00,1 hour,WTCMSC03,1185869,1431062,14099,30,17.3,89371859,516600000,0,0,1743906,40.1843,3181731,7917846,99.5145,7879401,7917846,101295.1044,302208,886140,69,1188348,1713295,99.3294,3951843,3978522,97.8539,797608,815101,96.1155,1607449,1672414,556337,1156958,14099,0,0
16,5/27/2024 15:00,5/27/2024 16:00,1 hour,WTCMSC03,1188380,1430709,14142,30,17.1159,88420573,516600000,0,0,1760926,39.5126,3157198,7990363,99.5983,7958268,7990363,99559.4942,292590,871276,68,1163866,1699317,99.3075,3903516,3930737,97.8397,743666,760086,95.9543,1606150,1673869,545966,1153351,14142,0,0
17,5/27/2024 16:00,5/27/2024 17:00,1 hour,WTCMSC03,1197018,1428981,14041,30,18.0274,93129481,516600000,0,0,1860143,39.7291,3352322,8437952,99.5572,8400585,8437952,105257.0131,301211,927010,69,1228221,1774321,99.3508,4040599,4067001,97.899,764303,780706,96.2924,1693679,1758891,559700,1214621,14041,0,0
18,5/27/2024 17:00,5/27/2024 18:00,1 hour,WTCMSC03,1218290,1425686,13990,30,20.7615,107253997,516600000,0,0,2121112,39.5884,3799686,9597984,99.5446,9554274,9597984,121207.4367,351898,1082208,71,1434106,2030682,99.3165,4418077,4448483,97.8806,821588,839378,96.2782,1943183,2018301,628572,1402110,13990,0,0
19,5/27/2024 18:00,5/27/2024 19:00,1 hour,WTCMSC03,1233364,1418430,13926,30,25.2109,130239578,516600000,0,0,2497814,38.9377,4364577,11209134,99.44,11146361,11209134,146202.1411,504036,1374094,72,1878130,2596270,99.3041,4689346,4722209,98.0094,868051,885681,95.6759,2349043,2455209,807233,1789037,13926,0,0
20,5/27/2024 19:00,5/27/2024 20:00,1 hour,WTCMSC03,1218634,1410560,13927,30,25.4106,131271039,516600000,0,0,2156671,37.5065,3624160,9662761,99.4856,9613059,9662761,147703.2914,630923,1455722,73,2086645,2858423,99.2825,4278750,4309671,98.1104,801887,817331,94.8705,2257468,2379525,935290,1923133,13927,0,0
21,5/27/2024 20:00,5/27/2024 21:00,1 hour,WTCMSC03,1177584,1406353,13907,28,22.301,115207193,516600000,0,0,1605362,36.1932,2626828,7257801,99.6368,7231439,7257801,131719.0936,696245,1413612,73,2109857,2877167,99.2117,3694405,3723761,98.052,702892,716856,94.3847,1988587,2106895,988830,1888337,13907,0,0
22,5/27/2024 21:00,5/27/2024 22:00,1 hour,WTCMSC03,1116437,1402989,13780,28,15.8334,81795426,516600000,0,0,898041,36.0046,1489395,4136680,99.5589,4118435,4136680,96626.5344,612504,1143088,73,1755592,2397525,99.1928,3008652,3033134,97.843,600045,613273,94.7056,1450827,1531933,873508,1524017,13780,0,0
23,5/27/2024 22:00,5/27/2024 23:00,1 hour,WTCMSC03,1046147,1400158,13710,28,7.6559,39550301,516600000,0,0,367325,35.1856,605751,1721589,99.6178,1715009,1721589,48274.1069,319441,589165,68,908606,1339773,99.1319,2244102,2263753,97.6813,476379,487687,95.3046,720415,755908,535141,804632,13710,0,0
24,5/27/2024 23:00,5/28/2024 0:00,1 hour,WTCMSC03,993152,1397742,13639,28,2.7678,14298547,516600000,0,0,120966,31.7652,184596,581126,99.6371,579017,581126,17736.1825,99956,216500,52,316456,608568,99.0957,1793173,1809536,97.2718,371978,382411,95.4005,264080,276812,280870,327698,13639,0,0
