Result Time,Granularity Period,Object Name,Reliability,Location Update Requests,LUSR,LUSR_denom,LUSR_nom,Number of First Pagings to A Interface,Number of First Paging Responses from A Interface,Number of Repeated Paging Responses from A Interface,Paging_Success_Rates,Paging_Success_Rates_Denom,Paging_Success_Rates_Nom,Successful Location Updates During Roaming,Successful Location Updates in the VLR
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=RWZRNC-LAI3, SAI=641010A47",Reliable,88600,99.51899999999999,88600,88174,0,0,0,94.61,16235,15360,2119,86055
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=FPZRNC-LAI3, SAI=641010AC9",Reliable,62694,99.55,62694,62412,0,0,0,93.488,11732,10968,2608,59804
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC5-LAI04, GCI=64101139A",Reliable,15032,94.359,15032,14184,4078,3871,120,96.992,4522,4386,827,13357
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC5-LAI05, GCI=64101139B",Reliable,46115,93.93700000000001,46115,43319,43223,41117,1670,97.93299999999999,47163,46188,2413,40906
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC5-LAI06, GCI=64101139C",Reliable,20234,93.64399999999999,20234,18948,5553,5317,133,97.62299999999999,6058,5914,1224,17724
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=MLHBSC1-LAI_5, GCI=64101177E",Reliable,84703,88.685,84703,75119,29013,24719,1436,89.501,30327,27143,18637,56482
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC04_LAI3, GCI=641011455",Reliable,7488,95.419,7488,7145,6553,5092,465,83.302,6977,5812,2789,4356
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=MDZRNC-LAI8, SAI=641010AAA",Reliable,69637,97.18299999999999,69637,67675,0,0,0,94.87200000000001,12228,11601,2203,65472
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=JNHBSC1_LAI7, GCI=641011B93",Reliable,30066,95.41,30066,28686,14853,13791,447,95.08,16118,15325,2854,25832
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=JNHBSC1_LAI6, GCI=641011B94",Reliable,46485,93.398,46485,43416,22258,19900,821,92.47200000000001,23340,21583,8671,34745
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC15-LAI2, GCI=6410113A7",Reliable,34296,90.605,34296,31074,14531,13874,464,97.68799999999999,15918,15550,1631,29443
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC15-LAI1, GCI=6410113A6",Reliable,32085,94.184,32085,30219,23058,21994,750,97.57700000000001,25090,24482,2041,28178
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC11-LAI3, SAI=64101096C",Reliable,18882,97.64299999999999,18882,18437,9,1,12,97.06200000000001,28046,27222,420,18017
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC11-LAI2, SAI=64101096B",Reliable,20444,95.387,20444,19501,6,0,6,97.18700000000001,24922,24221,408,19093
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC11-LAI1, SAI=64101096A",Reliable,22552,92.18299999999999,22552,20789,4,0,5,97.45200000000001,26534,25858,439,20350
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=BUHBSC16-LAI3, GCI=641010908",Reliable,41106,94.31200000000001,41106,38768,18419,17556,615,97.59700000000001,20102,19619,1816,36952
2024-05-25 17:00+03:00,60,"AHMSC3/Site:LABEL=BUHBSC16-LAI2, GCI=641010907",Reliable,46898,94.848,46898,44482,15665,14868,532,97.301,17041,16581,1993,42489
